"Codice comune","Comune","Età","Sesso","Popolazione"
"017003","Agnosine","30","Maschi","13"
"017003","Agnosine","30","Femmine","12"
"017003","Agnosine","31","Totale","19"
"017003","Agnosine","31","Maschi","10"
"017003","Agnosine","31","Femmine","9"
"017003","Agnosine","32","Totale","13"
"017003","Agnosine","32","Maschi","7"
"017003","Agnosine","32","Femmine","6"
"017003","Agnosine","33","Totale","22"
"017003","Agnosine","33","Maschi","14"
"017003","Agnosine","33","Femmine","8"
"017003","Agnosine","34","Totale","25"
"017003","Agnosine","34","Maschi","10"
"017003","Agnosine","34","Femmine","15"
"017003","Agnosine","35","Totale","22"
"017003","Agnosine","35","Maschi","10"
"017003","Agnosine","35","Femmine","12"
"017003","Agnosine","36","Totale","21"
"017003","Agnosine","36","Maschi","14"
"017003","Agnosine","36","Femmine","7"
